iter	Passed	Remaining
0	62	62150
1	62	31336
2	63	20975
3	63	15803
4	63	12733
5	64	10705
6	65	9291
7	65	8180
8	66	7313
9	66	6619
10	67	6049
11	67	5593
12	68	5197
13	69	4877
14	69	4593
15	70	4344
16	71	4108
17	71	3892
18	71	3697
19	71	3524
20	72	3366
21	72	3222
22	72	3091
23	73	2969
24	73	2858
25	73	2754
26	73	2659
27	74	2569
28	74	2486
29	74	2408
30	74	2335
31	74	2267
32	75	2203
33	75	2144
34	75	2088
35	75	2034
36	76	1984
37	76	1936
38	76	1891
39	77	1848
40	77	1807
41	77	1767
42	77	1729
43	77	1693
44	78	1659
45	78	1626
46	78	1594
47	78	1564
48	79	1535
49	79	1507
50	79	1480
51	79	1454
52	80	1430
53	80	1406
54	80	1383
55	80	1361
56	80	1339
57	81	1318
58	81	1298
59	81	1279
60	81	1260
61	82	1242
62	82	1225
63	82	1208
64	82	1192
65	83	1175
66	83	1160
67	83	1143
68	83	1128
69	83	1113
70	84	1100
71	84	1086
72	84	1073
73	84	1060
74	85	1048
75	85	1036
76	85	1024
77	85	1012
78	85	1001
79	86	990
80	86	980
81	86	969
82	86	959
83	87	950
84	87	939
85	87	929
86	87	919
87	87	910
88	88	901
89	88	892
90	88	884
91	88	876
92	89	868
93	89	860
94	89	852
95	89	845
96	90	837
97	90	830
98	90	823
99	90	816
100	90	809
101	91	801
102	91	794
103	91	788
104	91	782
105	92	775
106	92	769
107	92	763
108	92	757
109	92	751
110	93	746
111	93	740
112	93	735
113	93	729
114	94	724
115	94	718
116	94	713
117	94	708
118	94	703
119	95	698
120	95	693
121	95	688
122	95	683
123	96	678
124	96	673
125	96	669
126	96	665
127	96	659
128	97	655
129	97	651
130	97	647
131	97	643
132	98	639
133	98	635
134	98	631
135	98	627
136	99	623
137	99	619
138	99	615
139	99	612
140	99	608
141	100	605
142	100	601
143	100	598
144	100	595
145	101	591
146	101	588
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	566
154	103	563
155	103	560
156	103	557
157	104	554
158	104	551
159	104	548
160	104	545
161	104	543
162	105	540
163	105	537
164	105	534
165	105	532
166	106	529
167	106	526
168	106	524
169	106	521
170	107	519
171	107	516
172	107	514
173	107	511
174	108	509
175	108	506
176	108	504
177	108	502
178	109	499
179	109	497
180	109	494
181	109	492
182	109	490
183	110	488
184	110	485
185	110	483
186	110	481
187	110	479
188	111	477
189	111	475
190	111	473
191	111	471
192	112	469
193	112	466
194	112	465
195	112	463
196	113	461
197	113	459
198	113	457
199	113	455
200	114	453
201	114	451
202	114	449
203	114	447
204	114	445
205	115	443
206	115	442
207	115	440
208	115	438
209	116	436
210	116	435
211	116	433
212	116	431
213	117	430
214	117	428
215	117	426
216	117	424
217	118	423
218	118	422
219	118	420
220	118	419
221	119	417
222	119	415
223	119	414
224	119	412
225	120	411
226	120	409
227	120	408
228	120	406
229	121	405
230	121	403
231	121	402
232	121	400
233	121	399
234	122	397
235	122	396
236	122	394
237	122	393
238	123	391
239	123	390
240	123	389
241	123	387
242	124	386
243	124	385
244	124	383
245	124	382
246	125	381
247	125	379
248	125	378
249	125	377
250	126	376
251	126	374
252	126	373
253	126	372
254	126	370
255	127	369
256	127	368
257	127	367
258	127	365
259	128	364
260	128	363
261	128	362
262	128	361
263	129	359
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	352
270	130	351
271	130	350
272	131	349
273	131	348
274	131	347
275	131	346
276	132	345
277	132	344
278	132	342
279	132	341
280	133	340
281	133	339
282	133	338
283	133	337
284	134	336
285	134	335
286	134	334
287	134	333
288	135	332
289	135	331
290	135	330
291	135	329
292	136	328
293	136	327
294	136	326
295	136	325
296	137	324
297	137	323
298	137	322
299	137	321
300	138	320
301	138	319
302	138	318
303	138	317
304	138	316
305	139	315
306	139	314
307	139	313
308	139	312
309	140	312
310	140	311
311	140	310
312	140	309
313	141	308
314	141	307
315	141	306
316	141	305
317	142	304
318	142	303
319	142	302
320	142	301
321	142	301
322	143	300
323	143	299
324	143	298
325	143	297
326	144	296
327	144	295
328	144	294
329	144	294
330	145	293
331	145	292
332	145	291
333	145	290
334	146	289
335	146	289
336	146	288
337	146	287
338	146	286
339	147	285
340	147	285
341	147	284
342	148	283
343	148	282
344	148	281
345	148	281
346	148	280
347	149	279
348	149	278
349	149	277
350	149	277
351	150	276
352	150	275
353	150	274
354	150	274
355	151	273
356	151	272
357	151	271
358	151	271
359	152	270
360	152	269
361	152	268
362	152	268
363	153	267
364	153	266
365	153	265
366	153	265
367	153	264
368	154	263
369	154	262
370	154	262
371	154	261
372	155	260
373	155	259
374	155	259
375	155	258
376	156	257
377	156	257
378	156	256
379	156	255
380	156	254
381	157	254
382	157	253
383	157	252
384	157	252
385	158	251
386	158	250
387	158	250
388	158	249
389	159	248
390	159	248
391	159	247
392	159	246
393	159	246
394	160	245
395	160	244
396	160	244
397	160	243
398	161	242
399	161	242
400	161	241
401	161	240
402	162	240
403	162	239
404	162	238
405	162	238
406	163	237
407	163	237
408	163	236
409	163	235
410	164	235
411	164	234
412	164	233
413	164	233
414	165	232
415	165	232
416	165	231
417	165	230
418	166	230
419	166	229
420	166	228
421	166	228
422	166	227
423	167	227
424	167	226
425	167	225
426	167	225
427	168	224
428	168	224
429	168	223
430	168	222
431	169	222
432	169	221
433	169	221
434	169	220
435	170	220
436	170	219
437	170	218
438	170	218
439	171	217
440	171	217
441	171	216
442	171	215
443	172	215
444	172	214
445	172	214
446	172	213
447	173	213
448	173	212
449	173	212
450	173	211
451	174	211
452	174	210
453	174	210
454	174	209
455	175	209
456	175	208
457	175	207
458	175	207
459	176	206
460	176	206
461	176	205
462	177	205
463	177	204
464	177	204
465	177	203
466	177	203
467	178	202
468	178	201
469	178	201
470	178	200
471	179	200
472	179	199
473	179	199
474	179	198
475	180	198
476	180	197
477	180	197
478	181	196
479	181	196
480	181	195
481	181	195
482	181	194
483	182	194
484	182	193
485	182	193
486	182	192
487	183	192
488	183	191
489	183	191
490	183	190
491	184	190
492	184	189
493	184	189
494	184	188
495	185	188
496	185	187
497	185	187
498	185	186
499	186	186
500	186	185
501	186	185
502	186	184
503	186	183
504	187	183
505	187	183
506	187	182
507	188	182
508	188	181
509	188	181
510	188	180
511	189	180
512	189	179
513	189	179
514	189	178
515	190	178
516	190	177
517	190	177
518	190	176
519	190	176
520	191	175
521	191	175
522	191	174
523	191	174
524	192	173
525	192	173
526	192	172
527	192	172
528	192	171
529	193	171
530	193	170
531	193	170
532	193	169
533	194	169
534	194	168
535	194	168
536	194	167
537	194	167
538	195	166
539	195	166
540	195	165
541	195	165
542	196	165
543	196	164
544	196	164
545	196	163
546	196	163
547	197	162
548	197	162
549	197	161
550	197	161
551	198	160
552	198	160
553	198	159
554	198	159
555	198	158
556	199	158
557	199	157
558	199	157
559	199	157
560	200	156
561	200	156
562	200	155
563	200	155
564	201	154
565	201	154
566	201	153
567	201	153
568	201	152
569	202	152
570	202	152
571	202	151
572	202	151
573	203	150
574	203	150
575	203	149
576	203	149
577	204	148
578	204	148
579	204	148
580	204	147
581	204	147
582	205	146
583	205	146
584	205	145
585	205	145
586	206	145
587	206	144
588	206	144
589	206	143
590	207	143
591	207	142
592	207	142
593	207	142
594	208	141
595	208	141
596	208	140
597	208	140
598	209	139
599	209	139
600	209	139
601	209	138
602	209	138
603	210	137
604	210	137
605	210	136
606	210	136
607	211	136
608	211	135
609	211	135
610	211	134
611	212	134
612	212	134
613	212	133
614	212	133
615	213	132
616	213	132
617	213	131
618	213	131
619	213	131
620	214	130
621	214	130
622	214	129
623	214	129
624	215	129
625	215	128
626	215	128
627	215	127
628	216	127
629	216	127
630	216	126
631	216	126
632	216	125
633	217	125
634	217	124
635	217	124
636	217	124
637	218	123
638	218	123
639	218	123
640	218	122
641	219	122
642	219	121
643	219	121
644	220	121
645	220	120
646	220	120
647	220	119
648	220	119
649	221	119
650	221	118
651	221	118
652	221	117
653	222	117
654	222	117
655	222	116
656	222	116
657	222	115
658	223	115
659	223	115
660	223	114
661	223	114
662	224	113
663	224	113
664	224	113
665	224	112
666	224	112
667	225	111
668	225	111
669	225	111
670	225	110
671	226	110
672	226	109
673	226	109
674	226	109
675	226	108
676	227	108
677	227	108
678	227	107
679	227	107
680	228	106
681	228	106
682	228	106
683	228	105
684	229	105
685	229	104
686	229	104
687	229	104
688	230	103
689	230	103
690	230	103
691	230	102
692	230	102
693	231	101
694	231	101
695	231	101
696	231	100
697	232	100
698	232	100
699	232	99
700	232	99
701	233	98
702	233	98
703	233	98
704	233	97
705	233	97
706	234	97
707	234	96
708	234	96
709	234	95
710	235	95
711	235	95
712	235	94
713	235	94
714	236	94
715	236	93
716	236	93
717	236	92
718	236	92
719	237	92
720	237	91
721	237	91
722	238	91
723	238	90
724	238	90
725	238	90
726	239	89
727	239	89
728	239	89
729	239	88
730	240	88
731	240	87
732	240	87
733	240	87
734	240	86
735	241	86
736	241	86
737	241	85
738	241	85
739	242	85
740	242	84
741	242	84
742	242	83
743	242	83
744	243	83
745	243	82
746	243	82
747	243	82
748	244	81
749	244	81
750	244	81
751	244	80
752	244	80
753	245	79
754	245	79
755	245	79
756	245	78
757	246	78
758	246	78
759	246	77
760	246	77
761	246	77
762	247	76
763	247	76
764	247	76
765	247	75
766	248	75
767	248	75
768	248	74
769	248	74
770	249	73
771	249	73
772	249	73
773	249	72
774	250	72
775	250	72
776	250	71
777	250	71
778	250	71
779	251	70
780	251	70
781	251	70
782	251	69
783	252	69
784	252	69
785	252	68
786	252	68
787	253	68
788	253	67
789	253	67
790	253	67
791	254	66
792	254	66
793	254	66
794	254	65
795	255	65
796	255	65
797	255	64
798	255	64
799	255	63
800	256	63
801	256	63
802	256	62
803	256	62
804	257	62
805	257	61
806	257	61
807	257	61
808	258	60
809	258	60
810	258	60
811	258	59
812	259	59
813	259	59
814	259	58
815	259	58
816	260	58
817	260	57
818	260	57
819	260	57
820	260	56
821	261	56
822	261	56
823	261	55
824	261	55
825	261	55
826	262	54
827	262	54
828	262	54
829	262	53
830	263	53
831	263	53
832	263	52
833	263	52
834	264	52
835	264	51
836	264	51
837	264	51
838	265	50
839	265	50
840	265	50
841	265	49
842	265	49
843	266	49
844	266	48
845	266	48
846	266	48
847	267	47
848	267	47
849	267	47
850	267	46
851	268	46
852	268	46
853	268	45
854	268	45
855	268	45
856	269	44
857	269	44
858	269	44
859	269	43
860	270	43
861	270	43
862	270	42
863	270	42
864	271	42
865	271	41
866	271	41
867	271	41
868	271	40
869	272	40
870	272	40
871	272	40
872	272	39
873	273	39
874	273	39
875	273	38
876	273	38
877	274	38
878	274	37
879	274	37
880	274	37
881	274	36
882	275	36
883	275	36
884	275	35
885	275	35
886	276	35
887	276	34
888	276	34
889	276	34
890	277	33
891	277	33
892	277	33
893	277	32
894	278	32
895	278	32
896	278	31
897	278	31
898	279	31
899	279	31
900	279	30
901	279	30
902	279	30
903	280	29
904	280	29
905	280	29
906	280	28
907	281	28
908	281	28
909	281	27
910	281	27
911	282	27
912	282	26
913	282	26
914	282	26
915	283	25
916	283	25
917	283	25
918	283	25
919	284	24
920	284	24
921	284	24
922	284	23
923	284	23
924	285	23
925	285	22
926	285	22
927	285	22
928	286	21
929	286	21
930	286	21
931	286	20
932	287	20
933	287	20
934	287	19
935	287	19
936	287	19
937	288	19
938	288	18
939	288	18
940	288	18
941	289	17
942	289	17
943	289	17
944	289	16
945	290	16
946	290	16
947	290	15
948	290	15
949	291	15
950	291	15
951	291	14
952	291	14
953	292	14
954	292	13
955	292	13
956	292	13
957	293	12
958	293	12
959	293	12
960	293	11
961	294	11
962	294	11
963	294	10
964	294	10
965	294	10
966	295	10
967	295	9
968	295	9
969	295	9
970	296	8
971	296	8
972	296	8
973	296	7
974	297	7
975	297	7
976	297	7
977	297	6
978	298	6
979	298	6
980	298	5
981	298	5
982	299	5
983	299	4
984	299	4
985	299	4
986	300	3
987	300	3
988	300	3
989	300	3
990	300	2
991	301	2
992	301	2
993	301	1
994	301	1
995	302	1
996	302	0
997	302	0
998	302	0
999	303	0
