iter	Passed	Remaining
0	58	58727
1	59	29484
2	59	19730
3	59	14850
4	59	11918
5	60	9967
6	60	8574
7	60	7526
8	60	6710
9	61	6059
10	61	5527
11	61	5081
12	61	4703
13	62	4381
14	62	4102
15	62	3858
16	62	3641
17	63	3449
18	63	3280
19	63	3125
20	64	2985
21	64	2859
22	64	2743
23	64	2636
24	65	2541
25	65	2452
26	65	2368
27	65	2289
28	67	2252
29	67	2185
30	67	2120
31	68	2060
32	68	2002
33	68	1949
34	68	1898
35	69	1850
36	69	1805
37	69	1762
38	69	1721
39	70	1683
40	70	1646
41	70	1610
42	70	1577
43	71	1544
44	71	1513
45	71	1484
46	71	1456
47	72	1428
48	72	1402
49	72	1377
50	72	1354
51	73	1331
52	73	1308
53	73	1287
54	73	1266
55	73	1246
56	74	1226
57	74	1208
58	74	1190
59	74	1172
60	75	1155
61	75	1139
62	75	1123
63	75	1108
64	76	1093
65	76	1079
66	76	1065
67	76	1051
68	76	1038
69	77	1025
70	77	1013
71	77	1000
72	77	989
73	78	978
74	78	966
75	78	955
76	78	945
77	79	934
78	79	924
79	79	914
80	79	904
81	79	895
82	80	884
83	80	875
84	80	866
85	80	858
86	80	849
87	81	841
88	81	833
89	81	825
90	81	818
91	82	811
92	82	804
93	82	797
94	82	790
95	83	783
96	83	777
97	83	770
98	83	764
99	84	757
100	84	751
101	84	745
102	84	739
103	85	734
104	85	728
105	85	722
106	85	716
107	86	711
108	86	706
109	86	700
110	86	696
111	87	690
112	87	685
113	87	680
114	87	676
115	88	671
116	88	666
117	88	661
118	88	657
119	89	652
120	89	648
121	89	643
122	89	639
123	89	635
124	90	631
125	90	627
126	90	622
127	90	618
128	91	615
129	91	611
130	91	607
131	91	603
132	92	600
133	92	596
134	92	593
135	92	589
136	93	586
137	93	583
138	93	579
139	93	576
140	94	573
141	94	569
142	94	566
143	94	563
144	94	559
145	95	556
146	95	553
147	95	550
148	95	547
149	96	544
150	96	542
151	96	539
152	96	536
153	97	533
154	97	530
155	97	528
156	97	525
157	98	522
158	98	520
159	98	517
160	98	514
161	98	511
162	99	509
163	99	506
164	99	504
165	99	502
166	100	499
167	100	497
168	100	494
169	100	492
170	101	490
171	101	488
172	101	485
173	101	483
174	102	481
175	102	478
176	102	476
177	102	474
178	103	472
179	103	470
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	458
186	104	456
187	105	454
188	105	452
189	105	450
190	105	448
191	106	446
192	106	444
193	106	443
194	106	441
195	107	439
196	107	437
197	107	436
198	107	434
199	108	432
200	108	430
201	108	428
202	108	427
203	109	425
204	109	423
205	109	422
206	109	420
207	110	418
208	110	417
209	110	415
210	110	413
211	110	412
212	111	410
213	111	409
214	111	407
215	111	406
216	112	404
217	112	403
218	112	401
219	112	400
220	113	398
221	113	397
222	113	395
223	113	394
224	114	392
225	114	391
226	114	390
227	114	388
228	115	387
229	115	386
230	115	384
231	115	383
232	116	382
233	116	380
234	116	379
235	116	378
236	117	377
237	117	375
238	117	374
239	117	373
240	118	372
241	118	370
242	118	369
243	118	368
244	119	367
245	119	366
246	119	364
247	119	363
248	120	362
249	120	361
250	120	360
